Inventor Name,Patent IDs,CPC Classes
James M. Schwarz,6276806; 9463396,B01D; F28D
Seong-In Moon,7749655; 8845994,H01G; H01M; Y02E; Y02T
Yun-Yu CHEN,10276378; 10805151; 12264414,C08J; C08K; D01D; D01F; G02B; H01L; H04L
Rob Wechsler-Reya,11124841,C12Q
Milan L. Storch,5538278; 5738371; 6106008,
Fumio Imaizumi,4204819; 4251199,
Delbert Cope,8770977,
Lucas Jozef Maria Schlangen,11882630,F21S; H05B
Sastry P. Chimalakonda,6250433,
C.J. Guo,7776208,
Ali Selek,6986207; 9144708,A63B; B62B
Chang-Shiang Yang,12024661; 8324080; 8648250,B82Y; C01G; C01P; C08F; C08K; C09K
Jose Pablo Cortina-Ortega,8468776,
Laid Kefsi,11323012; 11523548; 9000740,B60L; F01D; F02B; F05D; H02K; H02M; H05K; Y02T
Tien-Hsiang Cheng,10672658; 11145546,H01L
Terry L. Loerwald,4807367,
Kolton Baer,11565378; 12055770; 12325114,B25B; G02B
Frank Ambrosius,7156426,
Russell S. Stephanchick,5535931,
Terry D. Butters,5399567; 5472969; 5525616; 5580884; 5656641; 5786368; 5786369; 5798366; 5801185; 6291657; 6465487; 6465488; 6610703; 6660749; 7816560; 8367705; 8426445; 8450345; 8748460; 8975280; 9044470; 9089515; 9579334; 9943532,A61K; C07D
Nirupama Karunaratne,7064159; 7314649; 7404987; 8158956; 8500040; 8633453; 8657210; 9163152,C08K; C09D
Chigozie V. Nwosu,10791689; 6194020; 6399139; 6582747,A01H; C12Q
Hans-Dieter Poweleit,4896020; 4896021; 4918289,
Robert Wilkins,5969928; 6456189; D311009,
Jeffrey Lehtinen,10920984; 10955138; 11391463; 11655979; 6711898; 7007476; 7290394; 7921649; 7966819; 8312727; 8327649; 9464808,F05B; F23R; Y10T
Heggo Stale,4956054,
Stephen G. Pearre,4048076; 4582099,
Henrique Cestari De Paoli,10017770; 10907164; 11725211,C12N
Chanoch Carmeli,7524929; 8212005; 8624227,
Dawn Marie LaPietra,7894094; 8711439,
Steven Grunlund,10676886,A01C; E01C; E01H
Merle E. Converse,4335345; 4390828; 4719407; 4725785; 4740757; 4784154; 4803996; 4899760; 8584698,
Volker Mattern,5296091; 5304278,
"Emery Vass, Jr.",6364261,
Erico Rolim de Mattos,8302346; 8656636,
Stefan Mitterlehner,10429024; 10488007; 10598330; 10641455; 11054104; 11378246; 11592153; 11732857; 11780363; 11788703; 12013095,B60Q; F21S; F21V; F21Y; G02B
Shozo Tanimura,4052363; 4257926,
Martin D. Malthouse,4323416; 4447280; 4448629; 4526645; 4561928,
Shouji Inoue,5538578; 7619052; 8471169,
Donko Donjerkovic,11100098; 11372872; 11550817; 11580111; 11720570; 11797568; 11836136; 12038929; 12229161; 8326857; 8458206,G06F
William Montren,3978325; 4166389; 4177407; 4341117,
Wolfgang Friess,4402399; 6414441; 7611709; 7723306; 7727962; 7879976; 7897174; 8372895; 8829072; 8919007; 9500406; 9770420; 9956164,A61K; B01J; C07K; C12Y; F26B
Kenneth Westort,6598976; 6612701; 6650470; 6733140; 6798579; 6935747,
Gary Lee Klein,11966571; 12153785; 12353695,G06F
Andreas Oesterer,10613894; 6415298,G06F; G06N
Jeffrey C. Himler,6393086; 9324462,G21C; G21D; Y02E
Rudy Mark D. Halcon,10361546; 12107377; D887366; D892748,H01R; H02B; H02G
Scott D. Seiwert,10010536; 10233195; 10376497; 10544161; 10898474; 11306084; 7407973; 7597884; 7638488; 7728013; 7781474; 7829665; 7932267; 7932277; 8048862; 8119592; 8299021; 8304413; 8741936; 8969347; 8975235; 9290450; 9359379; 9527816; 9675593; RE47142,A61K; C07C; C07D; C07H
Daniel Redmond,10727562; 11987356; 4545090; 5950561,B64C; B64U; G05D; H01Q; H04B
Gopi Chand Tripuraneni,10501674; 11639458,C09K
Saul Garlick,5305882,
Joseph Z. Glustein,6258570,
Binit Kumar Jha,9536001,G06F
Forrest K. Blair,D254855,
Navjot Kaur Sandhu,11623863,B01J; C01B; C01F
Geoffrey Houghton,4197043; 4286448,
Takeo Koito,10048495; 10061136; 10061422; 10078390; 10139942; 10152168; 10171801; 10175533; 10216348; 10222528; 10254869; 10257504; 10268070; 10296150; 10302986; 10303288; 10310331; 10310356; 10386671; 10455223; 10473969; 10481465; 10502970; 10534208; 10585329; 10599246; 10649272; 10739905; 10761341; 10788720; 10816818; 10823886; 10852880; 10877351; 10884534; 10895758; 10908452; 11029567; 11067818; 11194172; 11269449; 11333941; 11373611; 11415827; 11567369; 11579499; 11586078; 11604378; 11630338; 11650444; 11650464; 11655944; 11656527; 11709566; 11719984; 11754904; 11774786; 11774812; 11829014; 11852303; 11869394; 11874567; 11880109; 11921384; 11934072; 11934082; 11940710; 11979549; 11982907; 11988924; 12007097; 12007588; 12038655; 12044932; 12044934; 12044939; 12078891; 12099279; 12108014; 12140306; 12140837; 12153313; 12163642; 12169336; 12174493; 12181756; 12197090; 12210251; 12216363; 12222497; 12248227; 12253762; 12265675; 12287543; 12305829; 12320478; 12339546; 12345983; 12345985; 12366344; 12372837; 12399401; 12411363; 12416837; 12422717; 12442513; 12449685; 7880850; 8189145; 8228309; 8355108; 8466886; 8508484; 8531632; 8576369; 8624867; 8654088; 8681306; 8749746; 8786571; 8836875; 8836880; 8860921; 8908135; 8928596; 8953109; 9019324; 9041886; 9046717; 9097901; 9158120; 9170696; 9176632; 9188801; 9223435; 9291842; 9292126; 9298328; 9313480; 9329397; 9350979; 9471165; 9488845; 9494827; 9549173; 9575609; 9612443; 9648312; 9671919; 9733507; 9740328; 9743072; 9772501; 9787973; 9946385; 9952700; 9972263; 9977287; 9977545; 9983444; 9989776,B29D; F21K; F21V; F21Y; G01S; G02B; G02F; G06F; G09G; H01L; H04N; H05B; H05K; Y10T
Patrick A. Knappert,6690159,
Richard Mimna,10173225; 10220369; 10967357; 11697090; 11857942; 11911743; 12478948; 6455650; 6903171; 7910674; 8025726; 8333835; 8585994; 8609050; 8617493; 8753599; 8845991; 8936772; 8974762; 9023302; 9308518; 9555420; 9682383,A23L; B01D; B01J; B03C; B82Y; C01B; C01C; C01P; C02F; C09C; C09D; F02M
Francis N. Fatool,4529199; 4542901; 4621431; 4962906,
Robert Mathias Unnold,11189156; 11295599,G08B; H04W
Roger J. Curran,4120276; 4127955; 4150656; 4173964; 4191158; 4221065; 4328750; 4344410; 4575961,
Teruo Noro,4800563; 6404707,
Kenjirou Mihara,6538318; 6984543; 7649437; 7679485; 7764161; 7830240,
Yuki Washizuka,D951193,
Ljudmila Grigorievna Simonova,7060651,
Frank A. Posluszny,5842925; 6338685,
Suihuai Yu,8141889,
Angelo Venzon,5961798,
David M. Gherardi,10987701; 11143588,B07C; G01N; H01J
Chih-Shin Chuang,6670093; 7026091; 7338747,
Wen He,10058817; 10199776; 10295498; 10317365; 10365181; 10386402; 10422717; 10651612; 10671191; 10680387; 11150199; 11533228; 11983539; 12005890; 12461016; 6699056; 6733427; 6746262; 6783375; 6929505; 6945794; 7001198; 7094090; 7108536; 7114978; 7371101; 7377798; 7448644; 7476115; 7565969; 7591662; 7666020; 7682164; 7712630; 7717729; 7841868; 7862364; 7938666; 7947949; 7958792; 8142216; 8309918; 8403694; 8434701; 8528425; 8591245; 8869712; 9097603; 9099943; 9147564; 9161255; 9171191; 9443120; 9520677; 9539616; 9583900; 9660400; 9755336; 9755368; 9768567; 9923286; 9954424; 9990320; D516039,A43B; A47B; B01D; B06B; B43K; B60W; F16L; G01D; G01H; G01M; G01N; G01R; G01S; G01V; G06F; G06K; G08B; H01J; H01R; H02K; H02P; H04L; H04N; H04W; H05K
Juni-ichi Nezu,6130060; 6184352; 6271353,
Robert M. Crandall,5282396; 5436741; 5595452; 5746548; 5853203; 5926331; 5938320; 5940230,
Robert Sean Slapikoff,7082402; 8010487; 8719222,
Steven M. Tregaskis,5070638,
Chi-Hsun CHEN,10051920,A43C
Herwig Janousch,5248050,
Dennis M. Ryder,4208583,
Brigette Ann Lynch,D634779,
Igor Veniaminovich Tumasiants,4080875,
Helmut Piening,4262867,
Shisheng Dong,11874146,G01D; G01H
Fritz J. Swenson,9259823; 9573249,B24D
Jerome Longeville,10135231; 9627870,H01R; H02G; H05K
David B. Archer,5108758; 5294448,
Marco Cartarius,9205846; D857557; D859216; D861205; D861206; D861207; D861934; D861935; D873715; D890970; D892371; D898244; D914543; D929900; D978723,B60K; B60W; G02B; G06F
Manfred Schaarschmidt,5409401; 5462454; 5571022; 5588885; 5772449; 7273389; 8128439; 8308504,
Masaru Koyahara,4563715; 4742409; 5001592; 5757583,
Peter Richard Andrew Cannon,6474618,
Ernst Pocksteiner,D308854,
Randall Riefel,10380518; 9589244; 9614961,G06F; G06Q; H04M
Roger U. Welaratne,5099869,
Sheldon W. Dean,3944439; 4022670; 4562052; 4662921; 4899695; 5080325,
Alfredo Santeiro,9932094,A01K; B63B; B63C
Erik Scott Carpenter,9379933; 9942347,H04L
Masanami Iio,9334977; 9340856,B22F; B23K; B32B; C22C; C23C; F01L; F16K; Y10T
Yongfeng Tu,10063546; 10306070; 10877885; 11089476; 11582179; 7835912; 7957961; 8320265; 9723129,G06F; H04L; H04M; H04W
Robert Stephen DiPietro,10902616; 12462423,G05D; G06F; G06K; G06T; G06V
Marc Wautier,10346478; 10423406; 8515984; 9037565; 9189533; 9218350; 9552363; 9557909; 9734158,G06F
Zheng Q. Wen,9808012,A01N; C02F; C09D; C09K
Ronald P. Ziebell,7224172,
Dante Cavalli,4809693,
Tai-Hsin Chien,7118591,
Kerri Michelle Therriault Breeden,6336555,
William Tienhung Chang,12201667,A61K
Chien-Ru Chen,10115360; 6753655; 6891520; 7023408; 7359290; 7446568; 7449916; 7605735; 7642800; 7772912; 7830353; 7843420; 7858438; 7916113; 7965271; 8040312; 8125435; 8169239; 8207929; 8274302; 8363037; 8421779; 8456407; 8564585; 8773410; 8791968; 8866721; 8866722; 9349339; 9373275,G02F; G09G; G90G; H03K
Russell L. Spreier,5902280; 6270480,
Kota Takagaki,10033274,H02M
Nicolas A. Natale,6044257; 6226510; 6285867; 6636732,
Mark Westcott,10522963; 11340383; 11976848; 12335673; 8182440; 8591482; 8886450; 9861276; D465514,A61B; A61L; B01D; B23K; C03B; C03C; F24F; G02B; G03F; G08G; H01S; H04R
VÃ©ronique Mathet,6605321,
Martin Pullen,D724717,
Sergei V. Ozherelkov,6525035,
Mahendar Reddy Nayini,8981109,C07D
Shu Chang,10663497; 10702453; 5481341; 5493369; 5666617; 5745826; 5752144; 5978630; 5991590; 6006059; 6295434; 6775502; 7053977; 7054568; 7537410; 7974559; 8023866; 8265504; 8280287; 8290408; 8305505; 8396406; 8897683; 9381154; H1803,A61J; A61K; B41F; G01D; G01R; G03G; G06F; Y02B; Y04S
Ilya Burylov,11853757,G06F
Marvin L. Nafziger,4135442,
Charles Backula,6467404,
Jean-Marie Malterre,5582518,
Shin TAKAYA,10118218; 11577306,B22D; C21D
Luciano Villanova,7427358; 8507698,
Il-boon Ko,9263080,G11B; Y10T
Jonathan C. Lorman,10128608,H01R
Jacob Philip Thomas,12505271; 6427226,G06F
Chun-Shen Liu,9773294; 9830731,G06F; G06T
Tetsuo Sakae,4543516; 5625504; 6178287; 6347182,
Antoni Silvestre Padros,10033788,G06F; H04L; H04N
Eric DANN,11427741; 11612551; 11622922; 11826440; 11964035; 12138332; 12161737,A23P; A61K; A61Q; B65D; C09K; F25D
Sadayuki Miyazaki,4778593,
Yilmaz TÃ¼rkyilmaz,10125584,E21B; G05B
Myles L. Saunders,4921478; 5176696,
Kristine Seale,9185238,G06Q; H04M
Jacob Karl Kozinn,7584122,
Gwanryong BAEK,11297992; 11324371,A47L; G05B; G05D
John R. McCutchen,4846262; 5518066,
Jiunn-Huei Chen,7292010,
Naomichi Umehara,7470334,
Lynn V. Larsen,6738095; 7577311,
Guangyue Wang,D1028931; D1076870; D1089136; D975678,
Hong Singhania,10109004; 8239069; 8527073; 9037272,F15B; G05B; G05D; G06Q
Christian Baravaglio,5105309; 6006937,
Andrea Parascandolo,5450476,
Madaiah Vinod Kumar,8391180; 9191307,H04L
Wik Roovers,9274920; 9673971,G06F; H03L; H04L
Gordon F. Kennedy,3996412; 4027862; 7279128; 7497989,
John Grebenkemper,6870436; 6873219,
Iruru Takahashi,5543125,
Robert S. D. Deane,4267641,
Manfred Brenke,4384303,
Valentin Nikolaevich Ivanov,4113499,
Michiel STEEGH,12359337; 9346254,B29C; B32B; C25D; Y10T
Bernhard Marx,12060684; 7984184,E01C; G01N
Walter Nowak,3969644; 6559986; 6999659; 9370706,A63B
Smijith Kunhiraman,12319493,B65D
P. K. Senthil Kumar,11011858; 6477595,H01R
Igor Rusinov,10326879; 10666791; 9503217,G06N; H04L; H04M
Thomas R. Warren,4597995,
Ritsuo Sakimura,10670493; 5440112; 7177016; 7564538; 8749763,G01M
Ralf Klueber,10313907,H04L; H04W
John Charny,10589897; 11560256; 6102194; 6245388; 8865487; 9128343,B29C; B29D; B29L; B32B; B65D; G02B; G02F; G03B; H01L; Y02E
Zhenmin Cheng,11918992; 9427721,B01F; B01J
Virginia L. Hershberger,5137324,
Charles Robert Kalman,7652983,
Florian Predl,9817053,G01R
Kyle C. Brogle,10432614; 10660085; 11050737; 11120123; 11374937; 11468162; 11483708; 11540137; 11568039; 11720504; 11775632; 11777936; 11863671; 11876806; 12089050; 12099586; 12177207; 12206799; 12210603; 12256223; 12381728; 12494913,G06F; G06Q; G06V; H04L; H04W
Ryan Samuel Schulte,11090067; 11096698; 11839387; 12303149; 12324596,A61B
Xiaoting MA,12305775; 12463559,F16K; H02N
Roger Hutchins,3993973; 4091356; 4210897; 4223556; 4875199,
Christopher Richard Mann,11281763,G06F; H04L; H04W
Anantha Harijith,11026918,A61K; A61M
Vesa Kaipainen,11325160,B07B; D21D
Vadim Morgunov,12242382,G06F
Salvatore Pirozzi,11015311,E01F; G01B; G01H
Jean Baptiste Garreau,8594490,
Weldon S. Lloyd,4816437,
Jens Botte,7017555; 7370631,
Johannes WEFER,12195422,C07B; C07C
Peter Duda,4894892; 6439498; 7159328,
Sandorne Balint,7858791,
Margaret A. Frerking,5278444,
Walter Fimpel,4815584; 4955464,
Gerald Rich,5259638,
Todd Richard Barber,12172810; 12291381,B65D
Alan Morse,10685030; 10997246; 5835585; 9317624; 9760612; 9910901; 9959366; D480050,G06F
Nicholas A Cumpsty,6986638,
Anthony Huynh,10357631; 11065009; 11065136; 11219740; 11623067; 11759342; 11957357; 8373095,A61B; A61F; A61L; A61M; B29C; B29D; B29K; B29L
Jack Regula,10073805; 11947472; 11989143; 12259816; 12326813; 12386751; 6091705; 6212161; 6400682; 6581126; 6851009; 6885670; 7039750; 8521941; 8553683; 8645605; 8683285; 8880771; 9141571; 9223734,G06F; G06N
Gavin Fowler,12449767,G03H
Daigo ARAKIDA,12404905,F16D
Leon D. Star,4425978; 4570733,
John W. McAnulty,6527815,
Eng Huan Ung,9155800,A61K; C07K
William F. Buholtz,4274361; 4318606; 4326793,
James T. Cox,4259975,
Woody Huang,6999034,
Heinrich Glaus,4223704; 4798231; 4947902; 5054614; 5097567; 5178195,
Ru LV,10980294,A41D; A63B
Jin-Cheol Sim,10797802; 10897382; 11588453; 12184290,H03F; H03K; H03L; H04B; H04L
Taishi SUZUKI,7800797,
Cyril Cauchois,12352744,B01L; G01N
Ib Lykke,5998694,
Seiji Nii,5659765,
Jianwen Ding,10145769; 10378905; 10424205; 11513040; 12292364; 9170256; 9542592,A61B; B01F; B01L; B63B; G01C; G01N; G01S; G02B; G06K; G06T; G08G
Andrei Tchouprakov,11648095; 7978892; 8144954; 8532355; 9066772; 9364300,A61B; A61C; G01B
Eric Olaf Carlson,10235152; 10250670; 10382514; 10410003; 10785275; 10965732; 11314498; 11662996; 11669883; 8489702; 8694989; 8745601; 8868502; 8909657; 9015276; 9244673; 9305008; 9420070; 9785424,G06F; G06Q; G16H; H04L; H04N
Yoshimitsu Kudoh,4764813; 4791047; 4930006; 4953028; 5115155; 5359383; 6832045; 7050716; 7450759; 7450767; 8465428; 8523766,
Yong Wu,10013124; 10062856; 10093999; 10129843; 10141990; 10181882; 10194377; 10225052; 10229451; 10250548; 10263674; 10289243; 10293266; 10297651; 10395615; 10455627; 10461268; 10468263; 10477435; 10480066; 10512447; 10523291; 10541290; 10557902; 10559497; 10585421; 10636659; 10636669; 10693090; 10696105; 10735064; 10739422; 10757961; 10761867; 10770050; 10843273; 10843283; 10851454; 10854461; 10854511; 10893039; 10911434; 10916505; 10928282; 10930493; 10932215; 10933704; 10939893; 10991586; 11004709; 11040362; 11066743; 11101853; 11128622; 11135259; 11168738; 11196136; 11204427; 11244824; 11266668; 11270296; 11289374; 11294518; 11341289; 11376271; 11378888; 11422943; 11426812; 11433718; 11457188; 11458155; 11476267; 11511200; 11582035; 11586447; 11597729; 11619297; 11621226; 11624746; 11646226; 11650633; 11673211; 11675878; 11676291; 11679632; 11689678; 11773454; 11775070; 11803955; 11820724; 11821346; 11821450; 11836224; 11852979; 11865620; 11907118; 11910683; 11912083; 11945032; 12016206; 12067707; 12079138; 12094406; 12113313; 12125210; 12175867; 12211436; 12250861; 12258318; 12287772; 12293299; 12295198; 12304585; 12304910; 12328872; 12334426; 12336420; 12356720; 12372876; 12394670; 12397319; 12411212; 12422267; 12432533; 12463093; 5943799; 6339299; 6711553; 7063786; 7264885; 7315866; 7429482; 7486506; 7654691; 7736483; 7946642; 8047671; 8092167; 8189105; 8219096; 8342892; 8718402; 8768682; 9002516; 9013185; 9024597; 9250495; 9285647; 9408384; 9426693; 9455856; 9469674; 9508783; 9513977; 9517521; 9535294; 9565010; 9583512; 9589990; 9678180; 9691793; 9718864; 9727188; 9730099; 9753787; 9767024; 9782899; 9787083; 9787390; 9851987; 9854798; 9910721; 9933501; 9965088; 9967008; 9973312; 9994922; D1009592; D1009594; D1020120; D1025668; D1033396; D1046986; D1054145; D1060736; D1077619; D1086605; D1098628; D1101850; D529516; D796658; D875840; D876553; D907336; D921214; D930956; D944495; D944496; D953557; D969334; D989334; D995687,A01N; A23L; A23V; A61B; A61K; A61N; A61P; A63F; A63H; B01D; B05B; B05C; B06B; B21C; B21J; B22D; B22F; B23H; B23K; B23P; B25J; B33Y; B60C; B60G; B60K; B60W; B62J; C07C; C07D; C07F; C07K; C12Q; C21D; C22C; C23C; F01M; F16B; F16C; F16H; G01C; G01L; G01N; G01P; G01Q; G01R; G01S; G02F; G03F; G05B; G06F; G06N; G06Q; G06T; G06V; G08B; G08G; G09G; G10H; G10L; G11B; G11C; H01B; H01L; H01P; H01R; H02H; H02M; H04B; H04J; H04L; H04N; H04W; H05K; H10B; H10D; H10K; H10N; Y02B; Y10S; Y10T
"Earl S. Lucas, Jr.",5440961; 5441166,
Tae Yong Park,10143770; 10449824; 10457115; 10479161; 10479164; 10486488; 10562370; 10611207; 10734464; 10744843; 10960730; 11052726; 11117447; 11117684; 11120242; 11331980; 11399135; 11446976; 11446981; 11505029; 11736803; 11765425; 11884138; 12391095; 9060069; 9357574; 9830858; D1021959; D835247,A61L; B01J; B60H; B60N; B64G; F04D; G02B; G02F; G06F; G06K; G06T; G09G; H01C; H01L; H04M; H04N; H04W; H05B
Yong Wook Song,7282421,
Kenneth L. Norcross,11352277; 11472726; 4645592; 4648967; 4711716; 4724073; 4775467; 5036882; 5039404; 5106494; 5110510; 5421995; 5587081; 5599450; 5656155; 5885448; 6383389,B01F; C02F
Ralph E. Verburg,6164322; 6179390,
Katsuhiko Shimakawa,4539012; 4565546,
Paolo Botto,4680340; 4963427; 5249813,
William P. Hidden,3955739; 4160629; 4259043; 4989723; 5083659; 7826945; D286932; D288255; D288408,
Frederic Roche,8118252; 8162254; 8172178; 8356769,
Maria Szadkowska,4082853; 4158607,
Jeffrey Tilly,6964343,
Jaroslav Hrabak,9803229,C12Q; G01N
Susan E. HABAS,10350583; 10392567; 11629058; 8536049; 9105797; 9636664,B01J; C01B; C07F; C10G; C22C; H01L; Y02E; Y02P
Heidi Wang,10078445; 10331338; 10534530; 10771424; 11023127; 11042292; 11237647; 11625110; 9430065; 9875021,A61B; G06F; G06K; G06Q; G06T; G06V; H04L
Carl Harald Janson,5958410,
Paul Terrence Newberry,9562568; 9611929; 9897193,B64C; F16B; F16C; F16H; Y10T
Dong Jhou Lee,11399506; 11465812,A01K; B65D
Sertac Guneri Yazgi,11169036,G01L
Ward D. Lyman,10220966; 10254097; 10518908; 10927987; 10948274; 11047370; 11174048; 7950634; 8058595; 8215621; 8418455; 8764286; 8789366; 8950795; 9334675; 9470213; 9611838; 9773627; 9879959,B25J; B29C; B29K; B33Y; B64C; B64G; E05B; F02K; F03G; F05D; F16B; F16L; F42B; F42C; G01V; H01H; Y10S; Y10T
Timothy Kuan-Ta Lu,10073087; 10385102; 10449267; 10480009; 10614353; 10626394; 10676721; 10752904; 10760065; 10793609; 10961513; 10968454; 10993967; 11026419; 11091762; 11186830; 11419898; 11446332; 11530425; 11591604; 11718860; 11850290; 11875876; 11926849; 12146152; 8153119; 8182804; 8329889; 8645115; 8795958; 9056899; 9234227; 9284562; 9315806; 9580480; 9617522; 9624554; 9691017; 9697460; 9828625; 9957511,A01K; A01N; A61B; A61K; A61L; A61P; B82Y; C07K; C08H; C09J; C12N; C12P; C12Q; C12Y; C40B; D01F; G01N; G06N; G16B; H03M
Farzana Badruddoja,8612599; 9985847,G06F; H04L
"Noble Lester Rye, II",10806635; 7634394; 7937253; 9767225,A61F; B23K; B26D; B65H; G06F
Jeremy J. Kraenzlein,8170761,
Chuan Hock Lim,9915539,G01C; G01S; H04N
Dennie C. Lanham,4380888,
Pierre-Yves Labey,9924771; D1038072; D846284,A45C
Ryohei Nukaga,8416435,
Grace Hung,8595625,
Anand Gupta,10248969; 10366010; 10452913; 10757865; 10867178; 10942952; 11222470; 11388487; 11438672; 11550689; 11586660; 11591991; 11720609; 11727317; 11823336; 11962874; 11966430; 12111862; 12229692; 12260877; 12279024; 12361045; 12394006; 12475365; 12494027; 5083865; 5328555; 5410122; 5423918; 5427621; 5456796; 5474640; 5494523; 5578131; 5608155; 5622565; 5622595; 5628870; 5779807; 5810937; 5824375; 5827785; 5902494; 5954888; 6001728; 6020035; 6029369; 6083451; 6083569; 6090167; 6103601; 6121163; 6125789; 6125861; 6139923; 6159333; 6191026; 6214160; 6223685; 6289843; 6291028; 6374770; 6449521; 6465043; 6638886; 6809809; 8112620; 8624857; 9040816; 9223686; 9930834; D1009056,A01B; A01D; A01F; C23C; F02M; G06F; G06K; G06N; G06Q; G06T; G06V; G11B; H01G; H01L; H04N; H04W; Y02E
Christopher M. Riehl,10158846; 10699442; 12246442,B25J; G01B; G06T; H04N
Jung Kuk KIM,10159715; 10233527; 10696725; 10881715; 10918736; 10933229; 11135271; 11142559; 11261227; 11332816; 11396691; 11643714; 11667688; 11672423; 12215425; 7120372; 7146117; 9133540; 9446929; 9689063,A61B; A61K; A61N; A61P; B05C; B32B; B65H; C07K; C08G; C12N; C12Y; C22C; C23C; G01H; Y10T
Derek Vaughn,10494564; 11162018; 11208590; 11708523; 7879771; 9505970; 9790414,C07C; C07D; C09K; E21B
Denise Brousseau,4448774,
Peter Edward Pickering,D438126,
Yang Hwan Joe,11582194; 8982799; 9107070; 9351147; 9497696; 9565165; 9622195; 9706483,H04L; H04W
C. Garrison Fathman,11701406; 4681760; 4904481; 5747299; 6709840; 7378089; 7557087; 7820626; 7964369; 8513208; 8629115; 9220744,A61K; A61P
Daniela Marcano,9572834,A61K; B82Y
Zhongxing Ming,12058179,G06F; H04L
Donald Bell,4622550; 4716408; 4766631; 4893231; 7133869; D309408,
Cheolhun Jung,D767193,
Lydia Kolonko,10194838; 8361099; 9480419; D634432,A61B
Ivano Salvatore Collotta,10411818; 10763995; 11212872; 11647562; 11979258; 12304422; 8254947; 8320320; 8467731; 8494849; 8583437; 8817904; 9602239; 9722322; 9787337,B60R; H01Q; H03M; H04B; H04L; H04W
Kaushik K. Parekh,6244093,
Amber Hampton,10380225; 11144706,G06F
Joelle Maugard,6500826,
Hiroshi Mizuguchi,10793100; 11447187; 11673522; 11967887; 12139085; 12275456; 12278538; 5531642; 6033274; 6099370; 6132275; 6146222; 6183323; 6527602; 6605915; 6645019; 6651019; 6656003; 6835109; 6843195; 6851993; 6883451; 6926568; 6964591; 7047115; 7063581; 7134924; 7140932; 7179143; 7195528; 7204732; 7217167; 7226326; 7238071; 7263943; 7300325; 7311572; 7354325; 7413490; 7419413; 7549901; 8142243; 8147283; 8667949; 8683656; 8695167; 8841237; 8950547; 8960160,B60H; B60R; B62D; C12Q; E01C; E02D; F01N; F02B; F02C; F02M; H01M; H02K
Mineko Tomomura,8207111,
Neema Jalali,6836778; 7047253; 7051042; 7366708; 7386567,
Todd C. Chalmers,12146561,F16C; F16D; F16H
Florian Dorner,4185755; 4437582,
Jorg Anhenn,4309158; 4336006,
John Alan Rowland,6060679,
Werner A. Gans,4402516,
Jean-Francois Drillet,9755248,B01J; C01B; C01P; H01M
Kurt Bothner,D727327; D810084,
Julie A. Smit,4134405; 4182329; 4204110; 4292971; 4315509; 4551860; 4908893; 6096047; 7335210,
Irina Gennadievna Vassilieva,8791150,
Randy W. Hill,7677491; 7991289; 8210465,
Douglas C. Ferrin,5950862; 6102240; 7188195; 7552250; D416162; D416431; D416432,
Raul Velasquez,10227929; 10348911; 7559528; 8767027,B65C; F02C; F05D; F16K; G02B; G06K; H04N
John D. Demaree,7191558; 7669358; 8222052; 8505481,C23C
Ken Gauthier,12089583; 12495788,A01M
Masanao Osanai,7795143; 8367530,
Oleg A. Yurzin,9390266; 9659172,G06F; H04L
Vaughan John Hutchinson,10906202; 11701792; 12318960; 7350737; D552973; D881662; D965039,B26D; B27G; B27L
Karl-Heinz MÃ¼nker,10260661; 11536412; 11719369; 7571745; 7748749; 8181672; 8453680; 8973618; 9291263,B21C; B32B; F01N; F16J; F16L; Y10T
Edmond Mok,12043220; 12103575; 12403572; D1004889; D1043175; D1103726,A47F; B25B; B60B; B60S; B62B
Sanjiv Kumar Jha,10216551; 10411899; 10673635; 11010950; 11544297,F03D; G06F; G06N; G06T; G06V; H04L; H04W; Y04S
Mitsugu Kita,5198475,
Miguel Angel Gonzalez Salazar,8347629; 9938944,F02B; F02M
John T. Vukelich,5114063,
Christopher M. Rienzo,9401998; 9596578; 9762741,G10L; H04L; H04M; H04Q; H04W
Timo Ellenberger,11570269,H04L
Oma L. Herndon,5314297; 5364420,
Osami Kushida,4311653; 4876523; 5119794,
Sathish Narayanan,10283173,G06F; G11C
Egon Krenzer,10055513,G06F
Michiko Yamaguchi,11319445; 8422091,C08F; C08G; C08K; C08L
Sivakumar Palaniswamy,10324097; 10369376; 10369377; 10371707; 10835184; 11577093; 11672486; 12226652,A61B; A61F; A61N; B01L; G01N
Dikai Liu,9902447,B25J; B62D
Jeffrey Todd Kanoza,6216062; 6236919; 6644115,
Christopher John Shehi,6263263; 7873446; 9097529,G01C
Billy Panagiotopoulos,10169773; 11144946; 11978083; 8849435,G06F; G06Q; G07F; G11B
Gerald Billac,12398093,A61K; A61P; C07C
Patrick A. Harrell,10195350,A61M; B65B
Yiru Ma,12210005,G01N
Tersem Summan,10074534; 8097082; 8679987; 9721784,C23C; H01L
John L. Eichelberger,4504402; 4505953; 4513053,
Ji-dong Shan,6994991,
Saturnin Alfonsi,6747207,
Noriaki Wakabayashi,4091266; 4370577; 4504750; 4507598; 4509001; 4669073; 4725776; 4999558; 5065263; 5124625; 5206566; 5267144; 5317468; 5335123; 5396380; 5402287; 8934385,H04W
Hang Bi,11474776; 9631079; 9631080; 9758659; 9758660; 9758661; 9764972; 9832978; 9896362; 9914656; 9915390,A01K; B01F; C02F; C08L; F16L; G06F; H04R; Y02W
